Windows,Edition/SP,Version,Date,Build,Num Providers,Num Events
Windows 10,Pro,21H1,2021/07/13,19043.111,884,50333
Windows 10,Pro,2004,2021/07/13,19041.111,884,50333
Windows 10,Pro,20H2,2021/07/13,19041.111,884,50333
Windows 10,Pro,2004,2020/12/08,19041.685,884,50264
Windows 10,Pro,2004,2021/01/12,19041.746,884,50264
Windows 10,Pro,2004,2021/02/09,19041.804,884,50263
Windows 10,Pro,2004,2020/11/10,19041.63,884,50236
Windows 10,Pro,21H1,2021/06/08,19043.1052,883,50324
Windows 10,Pro,2004,2021/06/08,19041.1052,883,50324
Windows 10,Pro,20H2,2021/06/08,19041.1052,883,50324
Windows 10,Pro,21H1,2021/04/13,19043.928,883,50320
Windows 10,Pro,2004,2021/05/11,19041.985,883,50320
Windows 10,Pro,2004,2021/04/13,19041.928,883,50320
Windows 10,Pro,20H2,2021/05/11,19041.985,883,50320
Windows 10,Pro,20H2,2021/04/13,19041.928,883,50320
Windows 10,Pro,2004,2020/10/13,19041.572,883,50218
Windows 10,Pro,2004,2020/09/08,19041.508,883,50217
Windows 10,Pro,2004,2020/08/11,19041.45,883,50216
Windows 10,Pro,2004,2020/07/14,19041.388,883,50210
Windows 10,Pro,2004,2020/06/09,19041.329,883,50210
Windows 10,Pro,2004,2020/04/16,19041.208,883,50210
Windows 10,Pro,2004,2020/05/27,19041.264,883,50210
Windows 10,Pro,1909,2021/03/09,18363.144,882,49816
Windows 10,Pro,1909,2020/12/08,18363.1256,881,49742
Windows 10,Pro,1909,2020/11/10,18363.1198,881,49722
Windows 10,Pro,1903,2020/12/08,18362.1256,880,49675
Windows 10,Pro,1909,2021/02/11,18363.1379,880,49675
Windows 10,Pro,1909,2021/01/12,18363.1316,880,49675
Windows 10,Pro,1903,2020/11/10,18362.1198,880,49655
Windows 10,Pro,1909,2020/10/13,18363.1139,880,49651
Windows 10,Pro,1909,2020/08/11,18363.1016,880,49646
Windows 10,Pro,1909,2020/07/14,18363.959,880,49645
Windows 10,Pro,1909,2020/05/12,18363.836,880,49645
Windows 11,Pro,22H2,2022/12/20,22621.963,879,50678
Windows 11,Pro,22H2,2023/01/17,22621.1105,879,50678
Windows 10,Pro,1909,2021/06/08,18363.1621,879,49814
Windows 10,Pro,1909,2021/05/11,18363.1556,879,49806
Windows 10,Pro,1903,2020/09/08,18362.1082,879,49582
Windows 10,Pro,1909,2020/09/08,18363.1082,879,49582
Windows 10,Pro,1903,2019/12/10,18362.1016,879,49579
Windows 10,Pro,1903,2020/07/14,18362.959,879,49578
Windows 10,Pro,1909,2020/06/09,18363.9,879,49578
Windows 10,Pro,1903,2020/03/12,18362.72,879,49572
Windows 10,Pro,1909,2020/04/14,18363.778,879,49572
Windows 10,Pro,1909,2020/03/12,18363.72,879,49572
Windows 10,Pro,1903,2020/02/11,18362.657,879,49564
Windows 10,Pro,1909,2020/02/11,18363.657,879,49564
Windows 10,Pro,1903,2019/12/10,18362.535,879,49563
Windows 10,Pro,1909,2019/12/10,18363.535,879,49563
Windows 10,Pro,1909,2020/01/14,18363.592,879,49563
Windows 10,Pro,1903,2019/11/12,18362.476,879,49561
Windows 10,Pro,1909,2019/10/05,18363.418,879,49558
Windows 10,Pro,1903,2019/09/10,18362.356,879,49542
Windows 10,Pro,1809,2020/11/10,17763.1577,879,49082
Windows 10,Pro,1909,2021/04/13,18363.15,878,49738
Windows 10,Pro,1903,2020/10/13,18362.1139,878,49579
Windows 10,Pro,1903,2020/05/12,18362.836,878,49574
Windows 10,Pro,1903,2019/07/09,18362.239,878,49522
Windows 10,Pro,1903,2019/03/29,18362.3,878,49519
Windows 10,Pro,1903,2019/06/11,18362.175,878,49519
Windows 10,Pro,1809,2020/10/13,17763.1518,877,48972
Windows 10,Pro,1809,2019/09/10,17763.737,877,48951
Windows 10,Pro,1809,2020/09/08,17763.1457,876,48945
Windows 10,Pro,1809,2020/08/11,17763.1397,876,48942
Windows 10,Pro,1809,2020/06/09,17763.1282,876,48941
Windows 10,Pro,1809,2020/07/14,17763.1339,876,48941
Windows 10,Pro,1809,2020/05/12,17763.1217,876,48941
Windows 10,Pro,1809,2019/04/09,17763.437,876,48936
Windows 10,Pro,1809,2020/03/12,17763.1098,876,48935
Windows 10,Pro,1809,2020/04/14,17763.1158,876,48935
Windows 10,Pro,1809,2018/12/11,17763.194,876,48933
Windows 10,Pro,1809,2019/02/12,17763.316,876,48932
Windows 10,Pro,1809,2020/01/14,17763.973,876,48911
Windows 10,Pro,1809,2020/02/11,17763.1039,876,48911
Windows 10,Pro,1809,2019/12/10,17763.914,876,48911
Windows 10,Pro,1809,2019/10/08,17763.805,876,48880
Windows 10,Pro,1809,2019/08/13,17763.678,876,48879
Windows 10,Pro,1809,2019/07/09,17763.615,876,48877
Windows 10,Pro,1809,2019/06/11,17763.557,876,48876
Windows 10,Pro,1803,2019/05/19,17134.766,876,48582
Windows 10,Pro,1803,2019/06/11,17134.829,876,48582
Windows 10,Pro,1809,2019/05/19,17763.504,875,48869
Windows 10,Pro,1809,2019/11/12,17763.864,875,48863
Windows 10,Pro,1809,2019/03/12,17763.379,875,48863
Windows 10,Pro,1803,2019/01/08,17763.253,875,48861
Windows 10,Pro,1809,2018/11/13,17763.107,875,48861
Windows 10,Pro,1803,2019/09/10,17134.1006,875,48514
Windows 10,Pro,1803,2019/08/13,17134.95,875,48513
Windows 10,Pro,1803,2019/07/09,17134.885,875,48512
Windows 10,Pro,1803,2019/04/09,17134.706,875,48507
Windows 10,Pro,1803,2019/03/12,17134.648,874,48500
Windows 10,Pro,1803,2018/09/11,17134.285,874,48492
Windows 10,Pro,1803,2019/01/08,17134.523,874,48492
Windows 10,Pro,1803,2018/08/14,17134.228,874,48492
Windows 10,Pro,1803,2018/06/12,17134.112,874,48490
Windows 10,Pro,1803,1970/01/01,17134.1,874,48485
Windows 10,Pro,1709,2017/12/12,16299.125,872,48148
Windows 10,Pro,1709,2017/11/14,16299.15,872,48147
Windows 10,Pro,1709,2017/11/14,16299.64,872,48147
Windows 10,Pro,1703,2017/07/11,15063.483,861,47159
Windows 10,Pro,1703,2017/06/13,15063.413,861,47159
Windows 10,Pro,1703,2017/03/20,15063.0,861,47158
Windows 10,Pro,1607,2016/11/08,14393.447,846,45716
Windows 10,Enterprise,1511,2016/02/09,10586.104,828,43890
Windows 10,Pro,1511,2016/03/08,10586.164,825,43837
Windows 10,Pro,1511,1970/01/01,10586.0,824,43807
Windows Server 2022,Standard,21H2,2022/11/15,20348.1249,818,47327
Windows Server 2022,Standard,21H2,2022/09/20,20348.1006,818,47254
Windows Server 2022,Standard,21H2,2022/08/16,20348.887,818,47240
Windows Server 2022,Standard,21H2,2022/06/21,20348.768,818,47140
Windows Server 2022,Standard,21H2,2022/04/19,20348.643,818,47138
Windows Server 2022,Standard,21H2,2022/02/15,20348.587,818,47138
Windows Server 2022,Standard,21H2,2021/12/08,20348.405,818,47114
Windows Server 2022,Standard,21H2,2023/03/21,20348.1607,817,47371
Windows Server 2022,Standard,21H2,2023/02/21,20348.1547,817,47278
Windows Server 2022,Standard,21H2,2023/01/17,20348.1487,817,47275
Windows Server 2022,Standard,21H2,2022/12/20,20348.1366,817,47275
Windows Server 2022,Standard,21H2,2022/10/18,20348.1129,817,47267
Windows Server 2022,Standard,21H2,2022/07/19,20348.825,817,47143
Windows Server 2022,Standard,21H2,2022/05/17,20348.707,817,47139
Windows Server 2022,Standard,21H2,2022/02/15,20348.524,817,47125
Windows Server 2022,Standard,21H2,2022/01/11,20348.469,817,47123
Windows Server 2022,Standard,21H2,2021/09/14,20348.23,817,46937
Windows Server 2022,Standard,21H2,2021/11/09,20348.35,817,46937
Windows Server 2022,Standard,21H2,2021/10/12,20348.288,817,46924
Windows Server 2022,Standard,21H2,2021/08/18,20348.169,817,46911
Windows Server 2019,Standard,1809,2021/03/09,17763.1817,816,46108
Windows Server 2019,Standard,1809,2021/02/09,17763.1757,816,46099
Windows Server 2019,Standard,1809,2020/12/08,17763.1637,816,46098
Windows Server 2019,Standard,1809,2021/01/12,17763.1697,816,46098
Windows Server 2019,Standard,1809,2020/11/10,17763.1577,816,46095
Windows Server 2019,Standard,1809,2022/11/15,17763.365,815,46460
Windows Server 2019,Standard,1809,2020/06/09,17763.1282,814,46023
Windows Server 2019,Standard,1809,2020/04/14,17763.1158,814,46017
Windows Server 2019,Standard,1809,2020/10/13,17763.1518,814,45985
Windows Server 2019,Standard,1809,2021/08/10,17763.2114,813,46120
Windows Server 2019,Standard,1809,2021/07/13,17763.2061,813,46119
Windows Server 2019,Standard,1809,2021/06/08,17763.1999,813,46112
Windows Server 2019,Standard,1809,2021/05/11,17763.1935,813,46101
Windows Server 2019,Standard,1809,2021/04/13,17763.1879,813,46097
Windows Server 2019,Standard,1809,2020/09/10,17763.1457,813,45958
Windows Server 2019,Standard,1809,2020/08/11,17763.1397,813,45955
Windows Server 2019,Standard,1809,2020/07/14,17763.1339,813,45954
Windows Server 2019,Standard,1809,2020/05/12,17763.1217,813,45954
Windows Server 2019,Standard,1809,2020/03/10,17763.1098,813,45948
Windows Server 2019,Standard,1809,2020/02/11,17763.1039,813,45924
Windows Server 2019,Standard,1809,2020/01/14,17763.973,813,45924
Windows Server 2019,Standard,1809,2019/12/10,17763.914,813,45924
Windows Server 2019,Standard,1809,2019/11/12,17763.864,813,45924
Windows Server 2019,Standard,1809,2019/09/10,17763.737,813,45892
Windows Server 2019,Standard,1809,2019/08/13,17763.678,813,45892
Windows Server 2019,Standard,1809,2019/03/12,17763.379,812,45876
Windows Server 2019,Standard,1809,2018/11/13,17763.107,812,45874
Windows 10,Pro,1507,2015/07/29,10240.0,812,42391
Windows Server 2016,Standard,1607,2017/11/14,14393.1884,803,43929
Windows Server 2016,Standard,1607,2016/11/08,14393.447,803,43916
Windows Server 2016,Standard,1607,2016/10/12,14393.0,803,43896
Windows 8.1,Pro,8.1,1970/01/01,9600.0,706,36205
Windows 8,Pro,8,1970/01/01,9200.0,673,32725
Windows 7,Ultimate,SP1,1970/01/01,7601.0,456,21415
